# SLOPE SCORES — PER TIMEPOINT
group,concentration_cfu_ml,time_min,weighted_score,above_threshold
10^1 ,10.0,0,0.0,False
10^1 ,10.0,5,0.0,False
10^1 ,10.0,10,0.0,False
10^1 ,10.0,15,0.0,False
10^1 ,10.0,20,0.0,False
10^1 ,10.0,25,0.0,False
10^1 ,10.0,30,0.0,False
10^1 ,10.0,35,0.0,False
10^1 ,10.0,40,0.0,False
10^1 ,10.0,45,0.0,False
10^1 ,10.0,50,0.0,False
10^1 ,10.0,55,0.0,False
10^1 ,10.0,60,0.0,False
10^1 ,10.0,65,0.0,False
10^1 ,10.0,70,0.0,False
10^1 ,10.0,75,0.0,False
10^1 ,10.0,80,0.0,False
10^1 ,10.0,85,0.0,False
10^1 ,10.0,90,0.0,False
10^1 ,10.0,95,0.0,False
10^1 ,10.0,100,0.0,False
10^1 ,10.0,105,1.0,False
10^1 ,10.0,110,4.0,False
10^1 ,10.0,115,0.0,False
10^1 ,10.0,120,0.0,False
10^2,100.0,0,0.0,False
10^2,100.0,5,0.0,False
10^2,100.0,10,0.0,False
10^2,100.0,15,0.0,False
10^2,100.0,20,0.0,False
10^2,100.0,25,0.0,False
10^2,100.0,30,0.0,False
10^2,100.0,35,0.0,False
10^2,100.0,40,0.0,False
10^2,100.0,45,0.0,False
10^2,100.0,50,0.0,False
10^2,100.0,55,0.0,False
10^2,100.0,60,0.0,False
10^2,100.0,65,0.0,False
10^2,100.0,70,0.0,False
10^2,100.0,75,0.0,False
10^2,100.0,80,0.0,False
10^2,100.0,85,0.0,False
10^2,100.0,90,0.0,False
10^2,100.0,95,0.0,False
10^2,100.0,100,0.0,False
10^2,100.0,105,1.0,False
10^2,100.0,110,4.0,False
10^2,100.0,115,1.0,False
10^2,100.0,120,2.0,False
10^3,1000.0,0,0.0,False
10^3,1000.0,5,0.0,False
10^3,1000.0,10,0.0,False
10^3,1000.0,15,0.0,False
10^3,1000.0,20,0.0,False
10^3,1000.0,25,0.0,False
10^3,1000.0,30,0.0,False
10^3,1000.0,35,0.0,False
10^3,1000.0,40,0.0,False
10^3,1000.0,45,0.0,False
10^3,1000.0,50,0.0,False
10^3,1000.0,55,4.0,False
10^3,1000.0,60,2.0,False
10^3,1000.0,65,2.0,False
10^3,1000.0,70,4.0,False
10^3,1000.0,75,4.0,False
10^3,1000.0,80,4.0,False
10^3,1000.0,85,4.0,False
10^3,1000.0,90,4.0,False
10^3,1000.0,95,4.0,False
10^3,1000.0,100,4.0,False
10^3,1000.0,105,0.0,False
10^3,1000.0,110,0.0,False
10^3,1000.0,115,0.0,False
10^3,1000.0,120,4.0,False
10^4,10000.0,0,0.0,False
10^4,10000.0,5,0.0,False
10^4,10000.0,10,0.0,False
10^4,10000.0,15,0.0,False
10^4,10000.0,20,0.0,False
10^4,10000.0,25,0.0,False
10^4,10000.0,30,0.0,False
10^4,10000.0,35,0.0,False
10^4,10000.0,40,0.0,False
10^4,10000.0,45,0.0,False
10^4,10000.0,50,6.0,True
10^4,10000.0,55,4.0,False
10^4,10000.0,60,4.0,False
10^4,10000.0,65,4.0,False
10^4,10000.0,70,4.0,False
10^4,10000.0,75,4.0,False
10^4,10000.0,80,4.0,False
10^4,10000.0,85,2.0,False
10^4,10000.0,90,4.0,False
10^4,10000.0,95,4.0,False
10^4,10000.0,100,4.0,False
10^4,10000.0,105,0.0,False
10^4,10000.0,110,0.0,False
10^4,10000.0,115,0.0,False
10^4,10000.0,120,4.0,False
10^5,100000.0,0,0.0,False
10^5,100000.0,5,0.0,False
10^5,100000.0,10,0.0,False
10^5,100000.0,15,0.0,False
10^5,100000.0,20,0.0,False
10^5,100000.0,25,0.0,False
10^5,100000.0,30,0.0,False
10^5,100000.0,35,0.0,False
10^5,100000.0,40,0.0,False
10^5,100000.0,45,0.0,False
10^5,100000.0,50,4.0,False
10^5,100000.0,55,4.0,False
10^5,100000.0,60,4.0,False
10^5,100000.0,65,4.0,False
10^5,100000.0,70,4.0,False
